Progressive Communication Training Log
==================================================
Expansion every 10000 cycles
Add 2 symbols and 1 sequence length per expansion
Size Accuracy: Now using distance-based metric (1.0 = perfect, decreases with distance)
==================================================

Cycle 1: Loss=13.4737, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.087, Content_Acc1=0.333, Size_Acc2=0.036, Content_Acc2=0.000, SizeErr1=10.5, SizeErr2=26.5
Cycle 2: Loss=8.3480, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.344, Content_Acc1=0.333, Size_Acc2=0.118, Content_Acc2=0.028, SizeErr1=2.0, SizeErr2=4.0
Cycle 3: Loss=5.2544, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.296, Content_Acc1=0.333, Size_Acc2=0.279, Content_Acc2=0.037, SizeErr1=4.0, SizeErr2=2.0
Cycle 4: Loss=3.3614, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.372, Content_Acc1=0.333, Size_Acc2=0.259, Content_Acc2=0.042, SizeErr1=2.0, SizeErr2=4.0
Cycle 5: Loss=2.2469, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.417, Content_Acc1=0.333, Size_Acc2=0.327, Content_Acc2=0.044, SizeErr1=2.0, SizeErr2=2.0
Cycle 6: Loss=1.9883, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.448, Content_Acc1=0.333, Size_Acc2=0.373, Content_Acc2=0.037, SizeErr1=2.0, SizeErr2=2.0
Cycle 7: Loss=1.9198, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.470, Content_Acc1=0.329, Size_Acc2=0.405, Content_Acc2=0.032, SizeErr1=2.0, SizeErr2=2.0
Cycle 8: Loss=1.6547, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.486, Content_Acc1=0.325, Size_Acc2=0.430, Content_Acc2=0.028, SizeErr1=2.0, SizeErr2=2.0
Cycle 9: Loss=1.4316, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.499, Content_Acc1=0.323, Size_Acc2=0.448, Content_Acc2=0.025, SizeErr1=2.0, SizeErr2=2.0
Cycle 10: Loss=1.8299, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.509, Content_Acc1=0.321, Size_Acc2=0.504, Content_Acc2=0.022, SizeErr1=2.0, SizeErr2=0.0
Cycle 11: Loss=1.7775, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.553, Content_Acc1=0.319, Size_Acc2=0.476, Content_Acc2=0.025, SizeErr1=0.0, SizeErr2=4.0
Cycle 12: Loss=2.8960, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.524, Content_Acc1=0.320, Size_Acc2=0.453, Content_Acc2=0.028, SizeErr1=4.0, SizeErr2=4.0
Cycle 13: Loss=1.1575, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.561, Content_Acc1=0.319, Size_Acc2=0.464, Content_Acc2=0.030, SizeErr1=0.0, SizeErr2=2.0
Cycle 14: Loss=1.2170, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.592, Content_Acc1=0.317, Size_Acc2=0.445, Content_Acc2=0.032, SizeErr1=0.0, SizeErr2=4.0
Cycle 15: Loss=1.7775, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.592, Content_Acc1=0.319, Size_Acc2=0.456, Content_Acc2=0.033, SizeErr1=2.0, SizeErr2=2.0
Cycle 16: Loss=1.2205, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.593, Content_Acc1=0.317, Size_Acc2=0.490, Content_Acc2=0.031, SizeErr1=2.0, SizeErr2=0.0
Cycle 17: Loss=1.3349, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.617, Content_Acc1=0.317, Size_Acc2=0.496, Content_Acc2=0.029, SizeErr1=0.0, SizeErr2=2.0
Cycle 18: Loss=1.7075, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.616, Content_Acc1=0.316, Size_Acc2=0.502, Content_Acc2=0.028, SizeErr1=2.0, SizeErr2=2.0
Cycle 19: Loss=1.2024, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.615, Content_Acc1=0.317, Size_Acc2=0.528, Content_Acc2=0.026, SizeErr1=2.0, SizeErr2=0.0
Cycle 20: Loss=1.7328, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.614, Content_Acc1=0.317, Size_Acc2=0.532, Content_Acc2=0.028, SizeErr1=2.0, SizeErr2=2.0
Cycle 21: Loss=1.2758, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.595, Content_Acc1=0.318, Size_Acc2=0.554, Content_Acc2=0.026, SizeErr1=4.0, SizeErr2=0.0
Cycle 22: Loss=2.1330, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.595, Content_Acc1=0.317, Size_Acc2=0.538, Content_Acc2=0.028, SizeErr1=2.0, SizeErr2=4.0
Cycle 23: Loss=1.9975, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.595, Content_Acc1=0.317, Size_Acc2=0.523, Content_Acc2=0.029, SizeErr1=2.0, SizeErr2=4.0
Cycle 24: Loss=1.6481, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.595, Content_Acc1=0.316, Size_Acc2=0.510, Content_Acc2=0.030, SizeErr1=2.0, SizeErr2=4.0
Cycle 25: Loss=1.3766, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.595, Content_Acc1=0.316, Size_Acc2=0.497, Content_Acc2=0.031, SizeErr1=2.0, SizeErr2=4.0
Cycle 26: Loss=1.6372, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.600, Content_Acc1=0.304, Size_Acc2=0.520, Content_Acc2=0.031, SizeErr1=4.0, SizeErr2=2.0
Cycle 27: Loss=1.6298, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.600, Content_Acc1=0.293, Size_Acc2=0.536, Content_Acc2=0.031, SizeErr1=2.0, SizeErr2=2.0
Cycle 28: Loss=1.6452, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.616, Content_Acc1=0.282, Size_Acc2=0.536, Content_Acc2=0.031, SizeErr1=2.0, SizeErr2=2.0
Cycle 29: Loss=1.3931, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.632, Content_Acc1=0.269, Size_Acc2=0.552, Content_Acc2=0.029, SizeErr1=0.0, SizeErr2=2.0
Cycle 30: Loss=1.6395, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.632, Content_Acc1=0.256, Size_Acc2=0.552, Content_Acc2=0.027, SizeErr1=2.0, SizeErr2=2.0
Cycle 31: Loss=1.6339, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.632, Content_Acc1=0.242, Size_Acc2=0.552, Content_Acc2=0.029, SizeErr1=2.0, SizeErr2=2.0
Cycle 32: Loss=2.3705, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.616, Content_Acc1=0.232, Size_Acc2=0.552, Content_Acc2=0.031, SizeErr1=4.0, SizeErr2=2.0
Cycle 33: Loss=1.7230, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.616, Content_Acc1=0.223, Size_Acc2=0.552, Content_Acc2=0.031, SizeErr1=2.0, SizeErr2=2.0
Cycle 34: Loss=1.4820, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.616, Content_Acc1=0.213, Size_Acc2=0.536, Content_Acc2=0.033, SizeErr1=2.0, SizeErr2=4.0
Cycle 35: Loss=1.2928, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.632, Content_Acc1=0.201, Size_Acc2=0.536, Content_Acc2=0.033, SizeErr1=0.0, SizeErr2=0.0
